Company Name,Category,Sub Cat,Period,Value - Randomized
Potato Inc.,Revenue By Region,Americas,2015 Q1,1.83E+11
Potato Inc.,Revenue By Region,Americas,2015 Q2,1.71E+11
Potato Inc.,Revenue By Region,Americas,2015 Q3,80840000000
Potato Inc.,Revenue By Region,Americas,2015 Q4,65310000000
Potato Inc.,Revenue By Region,Americas,2016 Q1,2.35E+11
Potato Inc.,Revenue By Region,Americas,2016 Q2,1.53E+11
Potato Inc.,Revenue By Region,Americas,2016 Q3,35920000000
Potato Inc.,Revenue By Region,Americas,2016 Q4,1.21E+11
Potato Inc.,Revenue By Region,Americas,2017 Q1,1.28E+11
Potato Inc.,Revenue By Region,Americas,2017 Q2,1.90E+11
Potato Inc.,Revenue By Region,Americas,2017 Q3,1.43E+11
Potato Inc.,Revenue By Region,Americas,2017 Q4,92400000000
Potato Inc.,Revenue By Region,Americas,2018 Q1,1.41E+11
Potato Inc.,Revenue By Region,Americas,2018 Q2,2.24E+11
Potato Inc.,Revenue By Region,Americas,2018 Q3,1.23E+11
Potato Inc.,Revenue By Region,Americas,2018 Q4,1.38E+11
Potato Inc.,Revenue By Region,Americas,2019 Q1,2.96E+11
Potato Inc.,Revenue By Region,Americas,2019 Q2,2.20E+11
Potato Inc.,Revenue By Region,Americas,2019 Q3,1.25E+11
Potato Inc.,Revenue By Region,Americas,2019 Q4,1.76E+11
Potato Inc.,Revenue By Region,Americas,2020 Q1,2.90E+11
Potato Inc.,Revenue By Region,Americas,2020 Q2,1.27E+11
Potato Inc.,Revenue By Region,Americas,2020 Q3,1.08E+11
Potato Inc.,Revenue By Region,Americas,2020 Q4,2.46E+11
Potato Inc.,Revenue By Region,Americas,2021 Q1,1.39E+11
Potato Inc.,Revenue By Region,Americas,2021 Q2,1.03E+11
Potato Inc.,Revenue By Region,Americas,2021 Q3,2.51E+11
Potato Inc.,Revenue By Region,Americas,2021 Q4,3.31E+11
Potato Inc.,Revenue By Region,Americas,2022 Q1,3.60E+11
Potato Inc.,Revenue By Region,Americas,2022 Q2,2.04E+11
